epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1530.78,0.97475,0.49698,1.03797,0.86878,0.85231,0.90612,0.56037,1.34576,0.58265,1.27961,0.0004556,0.0004556,0.0004556
41,1573.18,0.95601,0.46652,1.04582,0.88029,0.85048,0.90905,0.56407,1.34398,0.57455,1.28298,0.000416,0.000416,0.000416
42,1613.61,0.93398,0.45564,1.03657,0.88008,0.8452,0.90224,0.56194,1.3517,0.58113,1.28194,0.0003764,0.0003764,0.0003764
43,1651.03,0.90889,0.43405,1.02256,0.88816,0.84316,0.90368,0.56191,1.35085,0.58072,1.28895,0.0003368,0.0003368,0.0003368
44,1688.13,0.8811,0.43078,1.01083,0.88028,0.84167,0.90191,0.56379,1.34069,0.5889,1.30077,0.0002972,0.0002972,0.0002972
45,1725.83,0.86474,0.4205,1.00025,0.87422,0.85231,0.90241,0.56887,1.33415,0.58596,1.29584,0.0002576,0.0002576,0.0002576
46,1767.83,0.85867,0.41523,1.0044,0.87519,0.84848,0.90325,0.56562,1.33988,0.58111,1.30779,0.000218,0.000218,0.000218
47,1804.97,0.82975,0.4108,0.98668,0.87266,0.84955,0.9013,0.56544,1.32875,0.57775,1.31091,0.0001784,0.0001784,0.0001784
48,1842.23,0.80508,0.39865,0.9702,0.87157,0.85469,0.90423,0.57001,1.32762,0.57792,1.30757,0.0001388,0.0001388,0.0001388
49,1882.4,0.79108,0.38997,0.96971,0.86604,0.85505,0.9035,0.57249,1.32855,0.58058,1.31497,9.92e-05,9.92e-05,9.92e-05
50,1922.59,0.77616,0.38865,0.9612,0.85225,0.87307,0.90472,0.57141,1.32373,0.5734,1.32434,5.96e-05,5.96e-05,5.96e-05
